id,year,source_id,target_id,close
394,2004,1,2,2
396,2004,1,2,2
397,2004,1,2,1
401,2004,1,2,1
402,2004,1,2,1
403,2004,1,2,3
407,2004,1,2,2
410,2004,1,2,1
412,2004,1,2,1
413,2004,1,2,2
414,2004,1,2,2
420,2004,1,2,1
424,2004,1,2,1
431,2004,1,2,1
433,2004,1,2,1
441,2004,1,2,2
448,2004,1,2,1
449,2004,1,2,1
457,2004,1,2,3
460,2004,1,2,3
462,2004,1,2,3
465,2004,1,2,2
471,2004,1,2,3
472,2004,1,2,2
475,2004,1,2,2
476,2004,1,2,2
485,2004,1,2,1
487,2004,1,2,2
489,2004,1,2,2
490,2004,1,2,2
501,2004,1,2,3
511,2004,1,2,1
522,2004,1,2,2
523,2004,1,2,1
530,2004,1,2,1
539,2004,1,2,1
542,2004,1,2,3
544,2004,1,2,1
554,2004,1,2,1
555,2004,1,2,2
559,2004,1,2,1
560,2004,1,2,2
561,2004,1,2,1
563,2004,1,2,2
567,2004,1,2,2
568,2004,1,2,2
569,2004,1,2,2
572,2004,1,2,3
582,2004,1,2,1
587,2004,1,2,1
589,2004,1,2,1
590,2004,1,2,3
595,2004,1,2,3
598,2004,1,2,1
603,2004,1,2,1
617,2004,1,2,2
618,2004,1,2,1
630,2004,1,2,3
635,2004,1,2,1
636,2004,1,2,2
642,2004,1,2,1
669,2004,1,2,2
672,2004,1,2,1
676,2004,1,2,1
683,2004,1,2,1
686,2004,1,2,1
688,2004,1,2,1
690,2004,1,2,2
691,2004,1,2,1
694,2004,1,2,2
699,2004,1,2,1
708,2004,1,2,1
710,2004,1,2,1
713,2004,1,2,2
714,2004,1,2,1
715,2004,1,2,2
717,2004,1,2,2
726,2004,1,2,1
729,2004,1,2,2
733,2004,1,2,1
734,2004,1,2,1
742,2004,1,2,1
744,2004,1,2,1
746,2004,1,2,2
748,2004,1,2,1
756,2004,1,2,1
758,2004,1,2,1
759,2004,1,2,1
763,2004,1,2,1
764,2004,1,2,2
768,2004,1,2,2
769,2004,1,2,1
770,2004,1,2,3
773,2004,1,2,2
780,2004,1,2,1
781,2004,1,2,2
784,2004,1,2,1
788,2004,1,2,2
789,2004,1,2,2
790,2004,1,2,2
794,2004,1,2,2
797,2004,1,2,2
801,2004,1,2,2
803,2004,1,2,1
805,2004,1,2,3
808,2004,1,2,1
811,2004,1,2,2
813,2004,1,2,3
816,2004,1,2,1
821,2004,1,2,1
828,2004,1,2,3
829,2004,1,2,2
835,2004,1,2,2
836,2004,1,2,2
841,2004,1,2,2
843,2004,1,2,2
844,2004,1,2,2
846,2004,1,2,2
847,2004,1,2,1
848,2004,1,2,1
855,2004,1,2,2
864,2004,1,2,1
873,2004,1,2,3
876,2004,1,2,1
877,2004,1,2,2
878,2004,1,2,2
885,2004,1,2,2
887,2004,1,2,1
893,2004,1,2,1
899,2004,1,2,1
902,2004,1,2,1
905,2004,1,2,3
906,2004,1,2,1
912,2004,1,2,1
915,2004,1,2,2
919,2004,1,2,2
920,2004,1,2,2
921,2004,1,2,3
927,2004,1,2,2
936,2004,1,2,2
939,2004,1,2,3
941,2004,1,2,1
942,2004,1,2,1
944,2004,1,2,2
945,2004,1,2,1
950,2004,1,2,1
952,2004,1,2,1
957,2004,1,2,2
958,2004,1,2,2
967,2004,1,2,1
975,2004,1,2,1
976,2004,1,2,1
978,2004,1,2,2
983,2004,1,2,3
988,2004,1,2,1
994,2004,1,2,1
995,2004,1,2,1
997,2004,1,2,2
998,2004,1,2,1
999,2004,1,2,3
1000,2004,1,2,3
1001,2004,1,2,1
1005,2004,1,2,1
1015,2004,1,2,1
1023,2004,1,2,1
1026,2004,1,2,1
1027,2004,1,2,1
1031,2004,1,2,1
1034,2004,1,2,1
1035,2004,1,2,3
1041,2004,1,2,2
1049,2004,1,2,1
1050,2004,1,2,1
1054,2004,1,2,1
1055,2004,1,2,1
1063,2004,1,2,1
1065,2004,1,2,2
1066,2004,1,2,3
1067,2004,1,2,3
1073,2004,1,2,1
1080,2004,1,2,1
1084,2004,1,2,2
1087,2004,1,2,2
1091,2004,1,2,2
1092,2004,1,2,2
1093,2004,1,2,1
1095,2004,1,2,2
1100,2004,1,2,3
1103,2004,1,2,1
1113,2004,1,2,3
